text
69
@55
faen
helvete
jævla
fitte
drittsekk
pikk
kuk
idiot
mongo
tulling
rasshøl
jævel
fittehode
kukunger
satan
forbannet
jævlig
rass
hore
dust
din jævla
helsike
svin
trønder
